29/09/2014 10.53.00,Outcome,29/09/2014,"20.7",Health,
04/10/2014 19.45.19,Outcome,04/10/2014,16,Personal,Lacca + digestivo
04/10/2014 19.46.41,Outcome,04/10/2014,50,Clothing,Giacca
04/10/2014 22.36.28,Outcome,04/10/2014,19,Food & Drink,
11/10/2014 12.40.49,Income,10/10/2014,"1344.88"",Salary,
11/10/2014 21.21.08,Outcome,11/10/2014,20,Car Fuel,
11/10/2014 21.21.53,Outcome,11/10/2014,899,Tech,Ultra book
12/10/2014 19.59.07,Outcome,12/10/2014,13,Tech,Pendrive
12/10/2014 22.59.33,Outcome,12/10/2014,"12.5",Food & Drink,
19/10/2014 0.04.57,Outcome,19/10/2014,17,Food & Drink,
21/10/2014 13.57.01,Outcome,21/10/2014,10,Clothing,
22/10/2014 8.46.05,Outcome,22/10/2014,60,Personal,Lumosity
26/10/2014 22.02.21,Outcome,26/10/2014,50,Car Fuel,
30/10/2014 8.27.11,Outcome,29/10/2014,37,Tech,Borsa pc
10/11/2014 13.51.42,Income,10/11/2014,1349,Salary,
13/11/2014 13.03.11,Outcome,11/11/2014,"5.3",Food & Drink,
16/11/2014 3.47.46,Outcome,15/11/2014,3,Food & Drink,
16/11/2014 11.42.42,Outcome,16/11/2014,"21.15"",Health,Cerotti naso
16/11/2014 20.01.17,Outcome,16/11/2014,16,Clothing,
20/11/2014 18.28.35,Outcome,20/11/2014,21,Gifts,
20/11/2014 23.21.01,Outcome,21/11/2014,"9.9",Personal,Rivista
21/11/2014 11.14.52,Outcome,21/11/2014,20,Clothing,
21/11/2014 15.19.11,Outcome,21/11/2014,20,Car Fuel,
22/11/2014 3.03.10,Outcome,22/11/2014,5,Food & Drink,
23/11/2014 0.55.20,Outcome,22/11/2014,17,Food & Drink,
30/11/2014 1.09.13,Outcome,29/11/2014,50,Car Fuel,
30/11/2014 1.09.43,Outcome,29/11/2014,"16.4",Food & Drink,
09/12/2014 9.41.57,Outcome,17/12/2014,17,Food & Drink,
09/12/2014 9.42.30,Outcome,07/12/2014,"19.9",Gifts,Minion
09/12/2014 9.42.42,Outcome,08/12/2014,"9.9",Gifts,
09/12/2014 9.44.31,Outcome,08/12/2014,"19.9",Gifts,
09/12/2014 9.44.41,Outcome,08/12/2014,10,Gifts,
10/12/2014 12.08.18,Income,10/12/2014,"1713.37"",Salary,
12/12/2014 18.36.55,Outcome,12/12/2014,"53.89"",Gifts,
12/12/2014 19.11.05,Outcome,12/12/2014,19,Gifts,
13/12/2014 9.16.24,Outcome,13/12/2014,15,Phone,
13/12/2014 10.09.28,Outcome,13/12/2014,"65.48"",Car,Revisione
14/12/2014 1.58.28,Outcome,13/12/2014,20,Food & Drink,
16/12/2014 11.09.51,Outcome,15/12/2014,20,Car Fuel,
16/12/2014 11.10.21,Outcome,15/12/2014,250,Car,Assicurazione 500
21/12/2014 12.43.08,Outcome,19/12/2014,38,Food & Drink,
21/12/2014 12.43.28,Outcome,20/12/2014,16,Food & Drink,
21/12/2014 12.43.43,Outcome,21/12/2014,60,Car Fuel,
21/12/2014 12.44.04,Outcome,19/12/2014,300,Health,Dentista
21/12/2014 12.48.58,Outcome,21/12/2014,"13.5",Food & Drink,
21/12/2014 17.52.03,Outcome,21/12/2014,"12.5",Gifts,
22/12/2014 19.47.20,Income,22/12/2014,24,Personal,
23/12/2014 11.10.06,Outcome,23/12/2014,"20.26"",Gifts,
24/12/2014 17.00.26,Income,18/12/2014,"1509.23"",Salary,tredicesima
26/12/2014 12.27.07,Outcome,26/12/2014,20,Car Fuel,
26/12/2014 23.02.25,Outcome,26/12/2014,15,Entertainment,Lo Hobbit
27/12/2014 12.28.51,Outcome,27/12/2014,24,Clothing,
05/01/2015 11.08.11,Outcome,04/01/2015,10,Car Fuel,
05/01/2015 11.09.09,Outcome,05/01/2015,11,Personal,
05/01/2015 11.50.28,Outcome,05/01/2015,"16.6",Gifts,
05/01/2015 18.16.13,Outcome,05/01/2015,"13.81",Gifts,
07/01/2015 17.05.57,Outcome,06/01/2015,10,Food & Drink,
07/01/2015 17.06.55,Outcome,07/01/2015,40,Car Fuel,
14/01/2015 21.48.22,Income,07/01/2015,3888,Salary,tfr + stipendio(?)
14/01/2015 21.48.50,Outcome,14/01/2015,1000,Home,Caparra affitto
16/01/2015 20.17.23,Outcome,16/01/2015,70,Clothing,
18/01/2015 18.07.45,Outcome,17/01/2015,"23.28",Home,"cose varie casa (superpan)"
18/01/2015 18.08.19,Outcome,17/01/2015,"35.78",Home,Semeraro portaposate + cesto lavanderia
18/01/2015 18.08.49,Outcome,17/01/2015,25,Home,Trapunta mondocasa
18/01/2015 18.12.32,Outcome,18/01/2015,40,Car Fuel,
18/01/2015 18.13.25,Outcome,09/01/2015,16,Food & Drink,Toto e peppino
18/01/2015 18.13.47,Outcome,17/01/2015,"16.5",Food & Drink,
19/01/2015 12.48.02,Outcome,19/01/2015,"5.5",Food & Drink,Mensa
20/01/2015 13.20.05,Outcome,20/01/2015,"2.5",Food & Drink,Mensa
21/01/2015 22.42.52,Outcome,21/01/2015,30,Phone,
24/01/2015 15.45.58,Outcome,24/01/2015,"16.4",Food & Drink,
28/01/2015 13.14.43,Outcome,27/01/2015,"4.7",Food & Drink,
28/01/2015 13.14.57,Outcome,28/01/2015,"4.7",Food & Drink,
28/01/2015 13.17.16,Outcome,14/01/2015,500,Rent,
29/01/2015 8.31.19,Outcome,28/01/2015,10,Personal,Capelli
29/01/2015 20.34.03,Outcome,29/01/2015,"2.5",Food & Drink,mensa
29/01/2015 20.34.27,Outcome,29/01/2015,16,Home,Prese elettriche
01/02/2015 20.06.15,Outcome,31/01/2015,52,Groceries,Spesa LD
01/02/2015 20.06.50,Outcome,31/01/2015,16,Home,Cestini immondizia
01/02/2015 20.07.19,Outcome,31/01/2015,"8.5",Food & Drink,"Pizza Vai che ce n'è"
01/02/2015 20.07.42,Outcome,29/01/2015,20,Car Fuel,
01/02/2015 20.17.22,Income,19/01/2015,120,Salary,Buoni pasto Telit
01/02/2015 20.21.34,Outcome,31/01/2015,32,Gas,Bombola 15 litri + flessibile
01/02/2015 20.31.00,Outcome,31/01/2015,0,Water,
01/02/2015 20.31.18,Outcome,31/01/2015,0,Internet,
05/02/2015 11.05.10,Income,05/02/2015,120,Salary,buoni pasto
05/02/2015 11.05.29,Outcome,03/02/2015,16,Groceries,
09/02/2015 19.58.01,Outcome,04/02/2015,"12.31",Health,dicloreum 150mg
09/02/2015 19.58.57,Outcome,08/02/2015,16,Groceries,"lampadina macelleria camomilla spianata spazzolino maionese"
09/02/2015 20.00.12,Outcome,09/02/2015,"39.81",Groceries,"sandwich, lampadine x3, vaschette allum x3, pellicola cucina, croissant"
10/02/2015 9.45.54,Income,10/02/2015,876,Salary,Stipendio (x10 gg)
11/02/2015 7.38.13,Outcome,10/02/2015,100,Health,Dentista
14/02/2015 13.09.55,Outcome,13/02/2015,20,Car Fuel,
14/02/2015 13.10.18,Outcome,11/02/2015,16,Groceries,
14/02/2015 13.10.37,Outcome,12/02/2015,6,Food & Drink,mensa settimanale
14/02/2015 13.11.26,Outcome,14/02/2015,60,Gifts,
